⚠️ Broken Exit References Detected:
../gorstan_working/src/rooms/introZone/introstart.json: 'to_londonZone' -> 'findlaters' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_glitchZone' -> 'datavoid' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_gorstanZone' -> 'gorstanvillage' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_offmultiverseZone' -> 'shatteredrealm' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_offgorstanZone' -> 'echochamber' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_elfhameZone' -> 'faeglade' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_introZone' -> 'crossing' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_newyorkZone' -> 'manhattanhub' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_multiplezonesZone' -> 'secrettunnel' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_latticeZone' -> 'latticespire' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_multiZone' -> 'liminalhub' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_resetZone' -> 'resetchamber' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_internal-resetZone' -> 'thecrossing' (missing)
../gorstan_working/src/rooms/latticeZone/lattice.json: 'down' -> 'anothercontrolroom' (missing)
../gorstan_working/src/rooms/latticeZone/lattice.json: 'up' -> 'centralpark' (missing)
../gorstan_working/src/rooms/latticeZone/lattice.json: 'north' -> 'latticeobservationentrance' (missing)
../gorstan_working/src/rooms/latticeZone/latticelibrary.json: 'coffee' -> 'libraryofnine' (missing)
../gorstan_working/src/rooms/latticeZone/latticeobservationentrance.json: 'south' -> 'lattice' (missing)
../gorstan_working/src/rooms/latticeZone/latticeobservationentrance.json: 'north' -> 'latticeobservatory' (missing)
../gorstan_working/src/rooms/latticeZone/latticeobservatory.json: 'coffee' -> 'latticelibrary' (missing)
../gorstan_working/src/rooms/londonZone/dalesapartment.json: 'south' -> 'trentpark' (missing)
../gorstan_working/src/rooms/londonZone/dalesapartment.json: 'north' -> 'findlaterscornercoffeeshop' (missing)
../gorstan_working/src/rooms/londonZone/dalesapartment.json: 'east' -> 'stkatherinesdock' (missing)
../gorstan_working/src/rooms/londonZone/findlaterscornercoffeeshop.json: 'west' -> 'cafeoffice' (missing)
../gorstan_working/src/rooms/londonZone/findlaterscornercoffeeshop.json: 'south' -> 'dalesapartment' (missing)
../gorstan_working/src/rooms/londonZone/findlaterscornercoffeeshop.json: 'north' -> 'stkatherinesdock' (missing)
../gorstan_working/src/rooms/londonZone/findlaterscornercoffeeshop.json: 'east' -> 'trentpark' (missing)
../gorstan_working/src/rooms/londonZone/stkatherinesdock.json: 'portal' -> 'centralpark' (missing)
../gorstan_working/src/rooms/londonZone/stkatherinesdock.json: 'south' -> 'findlaterscornercoffeeshop' (missing)
../gorstan_working/src/rooms/londonZone/stkatherinesdock.json: 'north' -> 'dale'sapartment' (missing)
../gorstan_working/src/rooms/londonZone/stkatherinesdock.json: 'west' -> 'trentpark' (missing)
../gorstan_working/src/rooms/londonZone/trentpark.json: 'chair' -> 'resetroom' (missing)
../gorstan_working/src/rooms/londonZone/trentpark.json: 'east' -> 'stkatherinesdock' (missing)
../gorstan_working/src/rooms/londonZone/trentpark.json: 'west' -> 'findlaterscornercoffeeshop' (missing)
../gorstan_working/src/rooms/mazeZone/pollysroom.json: 'south' -> 'mazeroom' (missing)
../gorstan_working/src/rooms/mazeZone/pollysroom.json: 'north' -> 'ancientvault' (missing)
../gorstan_working/src/rooms/multiplezonesZone/secrettunnel.json: 'random' -> 'arbitercore' (missing)
../gorstan_working/src/rooms/newyorkZone/aevirawarehouse.json: 'west' -> 'centralpark' (missing)
../gorstan_working/src/rooms/newyorkZone/aevirawarehouse.json: 'bc' -> 'lattice' (missing)
../gorstan_working/src/rooms/newyorkZone/burgerjoint.json: 'north' -> 'centralpark' (missing)
../gorstan_working/src/rooms/newyorkZone/burgerjoint.json: 'west' -> 'storeroom' (missing)
../gorstan_working/src/rooms/newyorkZone/centralpark.json: 'portal' -> 'stkatherinesdock' (missing)
../gorstan_working/src/rooms/newyorkZone/centralpark.json: 'south' -> 'burgerjoint' (missing)
../gorstan_working/src/rooms/newyorkZone/centralpark.json: 'east' -> 'aevirawarehouse' (missing)
../gorstan_working/src/rooms/newyorkZone/storeroom.json: 'east' -> 'burgerjoint' (missing)
../gorstan_working/src/rooms/offgorstanZone/ancientslibrary.json: 'north' -> 'resetroom' (missing)
../gorstan_working/src/rooms/offgorstanZone/ancientvault.json: 'solved' -> 'elfhame' (missing)
../gorstan_working/src/rooms/offgorstanZone/arbitercore.json: 'north' -> 'arbitercore' (missing)
../gorstan_working/src/rooms/offmultiverseZone/anothercontrolroom.json: 'east' -> 'controlroom1' (missing)
../gorstan_working/src/rooms/offmultiverseZone/controlroom1.json: 'east' -> 'controlroom2' (missing)
../gorstan_working/src/rooms/offmultiverseZone/controlroom1.json: 'west' -> 'controlroom1' (missing)
../gorstan_working/src/rooms/offmultiverseZone/controlroom2.json: 'west' -> 'controlroom2' (missing)
../gorstan_working/src/rooms/offmultiverseZone/controlroom2.json: 'south' -> 'resetroom' (missing)
../gorstan_working/src/rooms/offmultiverseZone/danger-hiddenlab.json: 'up' -> 'resetroom' (missing)
../gorstan_working/src/rooms/offmultiverseZone/danger-hiddenlab.json: 'south' -> 'libraryofnine' (missing)
../gorstan_working/src/rooms/offmultiverseZone/resetroom.json: 'chair' -> 'trentpark' (missing)
../gorstan_working/src/rooms/offmultiverseZone/resetroom.json: 'north' -> 'controlroom2' (missing)
../gorstan_working/src/rooms/prewelcomeZone/prewelcomescreen.json: 'puzzle' -> 'stantonharcourt' (missing)
../gorstan_working/src/rooms/resetZone/resetchamber.json: 'east' -> 'controlroom' (missing)
